word,song,original_deets,kb_deets,original,kb
drunk,youngblood,5 Seconds of Summer,2018,Then one of us gets too drunk,Then one of us gets too lost
god,youngblood,5 Seconds of Summer,2018,Hope to God you see my face,"Like to think you see my face (Yeah, ooh, ooh)"
freak,try again,Aaliyah,2002,"Step to, step to, freaky-freaky",*cuts verse*
shit,rolling in the deep,Adele,2011,"Go ahead and sell me out, and then I'll lay your shit bare",Go ahead and sell me out and I'll lay it up there
body,send my love,Adele,2017,"You put your hands on, on my body and told me","You had your arms wraped, wraped around me, you told me, umm"
kiss,set fire to the rain (feat. ethan bortnick),Adele,2012,Until you kissed my lips and you saved me,Until you hold my hands and you saved me
lips,set fire to the rain (feat. ethan bortnick),Adele,2012,Until you kissed my lips and you saved me,Until you hold my hands and you saved me
men,don't matter,Akon,2007,Men steady comin' after you,Boys steady comin' after you
women,don't matter,Akon,2007,Women steady comin' after me,The girls steady comin' after me
marijuana,here,Alessia Cara,2016,Under clouds of marijuana,Over here just where I wanna be
cut,scars to your beautiful,Alessia Cara,2017,So she tries to cover up her pain and cut her woes away,So she tries to cover up her pain and hold woes away
ass,"honey, i'm good.",Andy Grammer,2017,I got her and she got me and you got that ass,I've got her and she got me and you've got that look
damn,"honey, i'm good.",Andy Grammer,2017,"And these long, long legs are damn near everywhere","And these long, long days, oh they're everywhere"
drink,"honey, i'm good.",Andy Grammer,2017,Drinking from that unholy grail,Searching now for that holy grail
legs,"honey, i'm good.",Andy Grammer,2017,"And these long, long legs are damn near everywhere","And these long, long days, oh they're everywhere"
men,"honey, i'm good.",Andy Grammer,2017,"Now, better men than me have failed",Now better ones than me have failed
unholy,"honey, i'm good.",Andy Grammer,2017,Drinking from that unholy grail,Searching now for that holy grail
bottle,cups,Anna Kendrick,2014,Two bottle'a whiskey for the way,I got my memories for the way
whiskey,cups,Anna Kendrick,2014,Two bottle'a whiskey for the way,I got my memories for the way
addict,7 rings,Ariana Grande,2019,Think retail therapy my new addiction,Think retail therapy my new addition
ass,7 rings,Ariana Grande,2019,"When you see them racks, they stacked up like my ass, yeah","When you see them racks, they stacked up like real fast, yeah"
bitch,7 rings,Ariana Grande,2019,"Been through some bad shit, I should be a sad bitch","Been through the baddest, it should be the saddest"
bottle,7 rings,Ariana Grande,2019,"Yeah, breakfast at Tiffany's and bottles of bubbles","Yeah, breakfast at Tiffany's, it won't burst my bubble"
bubbles,7 rings,Ariana Grande,2019,"Yeah, breakfast at Tiffany's and bottles of bubbles","Yeah, breakfast at Tiffany's, it won't burst my bubble"
juice,7 rings,Ariana Grande,2019,"Never mind, I got the juice","Never mind, what is the use?"
shit,7 rings,Ariana Grande,2019,"Been through some bad shit, I should be a sad bitch","Been through the baddest, it should be the saddest"
tattoo,7 rings,Ariana Grande,2019,Girls with tattoos who like getting in trouble,Girls with a dream who like getting in trouble
crazy,"​break up with your girlfriend, i'm bored",Ariana Grande,2019,You could call me crazy 'cause I want you,*cuts verse*
fuck,"​break up with your girlfriend, i'm bored",Ariana Grande,2019,Took one fuckin' look at your face (Hmm),Took another look at your face (Hmm)
fuck,"​break up with your girlfriend, i'm bored",Ariana Grande,2019,And I never even ever fuckin' met you,*cuts verse*
shit,"​break up with your girlfriend, i'm bored",Ariana Grande,2019,This shit always happen to me (Yeah),These things always happen to me (Yeah)
medicate,breathin,Ariana Grande,2018,"I can so over-complicate, people tell me to medicate","I can so over-complicate, people tell me to elevate"
shit,breathin,Ariana Grande,2018,I know that all this shit's fabricated,How did I know this is fabricated? Oh
touch,problem,Ariana Grande,2015,Every time you touch me and say you love me,Every time you see me and say you love me
fuck,"thank u, next (us version)",Ariana Grande,2019,I'm so fuckin' grateful for my ex,"I'm so, I'm so grateful for my ex"
fuck,"thank u, next (us version)",Ariana Grande,2019,I'm so fuckin'—,"I'm so, I’m so—"
shit,"thank u, next (us version)",Ariana Grande,2019,"That shit's amazing (Yeah, she's amazing)","That's so amazing (Yeah, she's amazing)"
shit,"thank u, next (us version)",Ariana Grande,2019,Gon' make that shit last,Gon' make that thing last
hell,l.o.v.e,Ashlee Simpson,2006,I don't even know where the hell he goes,I don't even know where the heck he goes
man,l.o.v.e,Ashlee Simpson,2006,Don't need any man in this room,Don't need any boys in this room
shit,my happy ending,Avril Lavigne,2005,All the shit that you do (all the shit that you do),All the stuff that you do?
clothes,when you're gone,Avril Lavigne,2008,"And the clothes you left, they lie on the floor","And the things you left, they lie on the floor, oh no"
hell,airplanes,B.o.B,2011,And back when I was rappin' for the hell of it,And back when I was rappin' for the thrill of it
shit,airplanes,B.o.B,2011,And get back to the music that started this shit?,And get back to the music that started this hit
hell,nothin' on you,B.o.B,2010,Most of it really was for the hell of the fun,Most of it really was for the love of the fun
skirt,nothin' on you,B.o.B,2010,"Tryna chase skirts, livin' in the summer sun",Tryna' chase dreams livin' in the summer sun
high,mía (ft. drake),Bad Bunny,2019,"Dile que tú eres mía desde la high (Desde la high, yeh)",Tell them that you are mine from high (From high)
man,move it like this,Baha Men,2003,(move it man),Yeah
woman,who let the dogs out,Baha Men,2002,I heard a woman shout out,The poor woman shout out
woman,who let the dogs out,Baha Men,2002,"You put a woman in front and her man behind (Yippie, Yi, Yo)","You fetch a women in front and her man behind (Yippie yi, yo)"
woman,who let the dogs out,Baha Men,2002,I heard a woman shout out,The poor woman shout out
dress,beautiful (bazzi),Bazzi,2019,The way that dress fall off you is amazing,*cuts verse*
god,beautiful (bazzi),Bazzi,2019,Swear to God that I loved her,"Yeah, you know that I loved her"
god,beautiful (bazzi),Bazzi,2019,"Swear to God you're beautiful, yeah","You should know you're beautiful, yeah"
henny,beautiful (bazzi),Bazzi,2019,Now a Backwood and some Henny got you faded,This is all I need to hear to know we made it
naked,beautiful (bazzi),Bazzi,2019,But nothing can compare to when you're naked,But nothing can compare to when you're singing
naked,beautiful (bazzi),Bazzi,2019,"(Perfect when you naked, together with you)","(Nothing can compare, you're better when you, hey, Oh)"
kiss,eastside,"​benny blanco, Halsey & Khalid",2019,Used to kiss underneath the light on the back of the bus (Yeah),Used to talk underneath the light on the back of the bus
war,crazy in love,Beyoncé,2004,"A star like Ringo, war like a Green Beret","A star like Ringo, roll like a green beret"
bed,irreplaceable,Beyoncé,2007,Cause you made your bed,*cuts verse*
man,irreplaceable,Beyoncé,2007,"Talkin' 'bout, how I'll never ever find a man like you",Talkin' 'bout how I'll never ever find a boy like you
high,sweet dreams,Beyoncé,2010,"Boy, you're my temporary high","Boy, you're my certain type of guy"
tattoo,sweet dreams,Beyoncé,2010,Tattoo your name across my heart,I've got your name across my heart
ass,1985,Bowling for Soup,2005,She was gonna shake her ass on the hood of Whitesnake’s car,She was gonna shake it fast on the hood of Whitesnake's car
die,the great escape,Boys Like Girls,2008,Let it die,Let it fly
drunk,the great escape,Boys Like Girls,2008,Lets get drunk and ride around,Let's have fun and ride around
intoxicate,toxic,Britney Spears,2004,Intoxicate me now with your lovin' now,*cuts verse*
ass,24k magic,Bruno Mars,2016,Bad bitches and ya ugly ass friends (Haha),*cuts verse*
bless,24k magic,Bruno Mars,2016,Hashtag blessed,*cuts verse*
gang,24k magic,Bruno Mars,2016,Gangstas (gangstas),*cuts verse*
jesus,24k magic,Bruno Mars,2016,Got to blame it on Jesus,*cuts verse*
